TDS,DEVELOPMENT,BOROUGH,LAT,LON,TOTAL_POP,POP14_18,POP18_24,POP_60_UP,HAS_ECO_HUB,AREA_FLOOD,AREA_BUILD,BUILT,OUTREACH,TDS_OUTREACH,ETT_OUTREACH,RECRUITMENT,TDS_RECRUITMENT,ETT_RECRUITMENT
178.0,WSUR (BROWNSTONES),MANHATTAN,40.7894713,-73.969042,325.0,,25.0,,0.0,0.0,0.628411,0,0.0,NaN,NaN,0.0,123.0,26.0
180.0,1010 EAST 178TH STREET,BRONX,40.8411693,-73.880247,438.0,,55.0,,0.0,0.0,1.09225940604529,0,0.0,NaN,NaN,0.0,59.0,22.0
181.0,METRO NORTH PLAZA,MANHATTAN,40.7870871,-73.943184,594.0,,83.0,,0.0,2.322549,0.910845,0,0.0,123.0,14.922938508054614,0.0,74.0,10.0
182.0,WOODSON,BROOKLYN,40.6650511,-73.902415,443.0,,0.0,,0.0,0.0,2.25030322826844,0,0.0,NaN,NaN,0.0,72.0,13.0
183.0,MELTZER TOWER,MANHATTAN,40.7230807,-73.987079,247.0,,0.0,,0.0,0.0,0.782001,0,0.0,NaN,NaN,0.0,60.0,10.0
184.0,HERNANDEZ,MANHATTAN,40.7220869,-73.989401,242.0,,20.0,,0.0,0.0,0.520811,0,0.0,NaN,NaN,0.0,23.0,18.0
186.0,LATIMER GARDENS,QUEENS,40.7660106,-73.830645,766.0,,48.0,,0.0,2.52011,1.52935709239063,0,0.0,NaN,NaN,0.0,26.0,44.0
187.0,AMSTERDAM ADDITION,MANHATTAN,40.7748423,-73.986874,349.0,,30.0,,0.0,0.0,0.430517,0,0.0,NaN,NaN,0.0,123.0,32.0
189.0,BOSTON ROAD PLAZA,BRONX,40.8623025,-73.866049,275.0,,0.0,,0.0,0.0,0.829019,0,0.0,NaN,NaN,0.0,59.0,37.0
190.0,DAVIDSON,BRONX,40.8275417,-73.899084,458.0,,85.0,,0.0,0.0,0.0,0,0.0,59.0,10.706186456249107,0.0,59.0,9.0
191.0,MIDDLETOWN PLAZA,BRONX,40.844445,-73.829168,191.0,,0.0,,0.0,0.0,0.693273,0,0.0,NaN,NaN,0.0,74.0,33.0
192.0,SEWARD PARK EXTENSION,MANHATTAN,40.717061,-73.98686,756.0,,75.0,,0.0,0.0,0.872261,0,0.0,60.0,11.962458062028142,0.0,60.0,13.0
193.0,THROGGS NECK ADDITION,BRONX,40.822025,-73.826045,653.0,,88.0,,0.0,0.0,4.81470796878073,0,0.0,NaN,NaN,0.0,74.0,30.0
194.0,PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,40.6565673,-73.887787,605.0,,77.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,36.0
197.0,FORT INDEPENDENCE STREET-HEATH AVENUE,BRONX,40.8796949,-73.900163,716.0,,89.0,,0.0,0.0,1.94373918360792,0,0.0,NaN,NaN,0.0,NaN,NaN
198.0,BARUCH HOUSES ADDITION,MANHATTAN,40.7170774,-73.979211,242.0,,0.0,,0.0,0.470396,0.2762,0,0.0,60.0,2.3245561872201046,0.0,60.0,2.0
199.0,CORSI HOUSES,MANHATTAN,40.797249,-73.936635,187.0,,0.0,,0.0,0.563267,0.167013,0,0.0,74.0,9.643464609624733,0.0,74.0,6.0
201.0,LEAVITT STREET-34TH AVENUE,QUEENS,40.7670497,-73.828617,101.0,,0.0,,0.0,0.0,0.138304,0,0.0,NaN,NaN,0.0,NaN,NaN
202.0,BAILEY AVENUE-WEST 193RD STREET,BRONX,40.8702684,-73.906328,444.0,,45.0,,0.0,0.0,1.66759479393844,0,0.0,NaN,NaN,0.0,74.0,45.0
205.0,FENIMORE-LEFFERTS,BROOKLYN,40.6603322,-73.941924,91.0,,14.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,25.0
206.0,CASSIDY-LAFAYETTE,STATEN ISLAND,40.6423838,-74.096419,442.0,,0.0,,0.0,0.0,2.65853325462896,0,0.0,NaN,NaN,0.0,77.0,28.0
207.0,FIORENTINO PLAZA,BROOKLYN,40.6729427,-73.891598,392.0,,46.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,23.0
208.0,EAST 180TH STREET-MONTEREY AVENUE,BRONX,40.8504863,-73.892222,512.0,,62.0,,0.0,0.0,0.818483,0,0.0,NaN,NaN,0.0,59.0,28.0
209.0,FHA REPOSSESSED HOUSES (GROUP I),QUEENS,40.683386,-73.770129,25.0,,2.0,,0.0,0.084694,1.00627266172513,0,0.0,NaN,NaN,0.0,NaN,NaN
212.0,FHA REPOSSESSED HOUSES (GROUP II),BRONX,40.6925107,-73.784219,22.0,,2.0,,0.0,0.074732,0.520649,0,0.0,NaN,NaN,0.0,NaN,NaN
213.0,FHA REPOSSESSED HOUSES (GROUP III),BRONX,40.7053599,-73.773088,18.0,,3.0,,0.0,0.0,0.419956,0,0.0,NaN,NaN,0.0,72.0,44.0
214.0,1471 WATSON AVENUE,BRONX,40.8258504,-73.880943,151.0,,18.0,,0.0,0.0,0.413949,0,0.0,NaN,NaN,0.0,59.0,28.0
215.0,HOE AVENUE-EAST 173RD STREET,BRONX,40.8363484,-73.887118,145.0,,21.0,,0.0,0.0,0.089929,0,0.0,NaN,NaN,0.0,59.0,18.0
216.0,CONEY ISLAND I (SITES 4 & 5),BROOKLYN,40.5748229,-73.993093,968.0,,136.0,,0.0,4.293519,2.00681502625875,0,0.0,68.0,14.975409595438602,0.0,68.0,16.0
218.0,ROBBINS PLAZA,MANHATTAN,40.7668007,-73.957299,169.0,,0.0,,0.0,0.0,0.100307,0,0.0,NaN,NaN,0.0,123.0,23.0
221.0,STUYVESANT GARDENS I,BROOKLYN,40.6882367,-73.933308,808.0,,118.0,,0.0,0.0,2.11760317042986,0,0.0,NaN,NaN,0.0,72.0,34.0
223.0,TELLER AVENUE-EAST 166TH STREET,BRONX,40.8299713,-73.912816,181.0,,22.0,,0.0,0.0,0.27608,0,0.0,NaN,NaN,0.0,59.0,20.0
224.0,EAGLE AVENUE-EAST 163RD STREET,BRONX,40.8229347,-73.908173,135.0,,15.0,,0.0,0.0,0.0,0,0.0,59.0,8.332450849288941,0.0,59.0,8.0
225.0,GLEBE AVENUE-WESTCHESTER AVENUE,BRONX,40.8351269,-73.850545,139.0,,0.0,,0.0,0.0,0.41067,0,0.0,NaN,NaN,0.0,123.0,32.0
226.0,FHA REPOSSESSED HOUSES (GROUP IV),BRONX,40.7004921,-73.768372,16.0,,1.0,,0.0,0.0,0.599219,0,0.0,NaN,NaN,0.0,NaN,NaN
232.0,CONLON LIHFE TOWER,QUEENS,40.7060931,-73.788942,240.0,,0.0,,0.0,0.0,0.581028,0,0.0,NaN,NaN,0.0,72.0,42.0
233.0,1162-1176 WASHINGTON AVENUE,BRONX,40.829928,-73.907535,155.0,,23.0,,0.0,0.0,0.178812,0,0.0,59.0,13.43133401167845,0.0,59.0,14.0
